_id,event,participantId,timestamp,appName,category,sceneName,eventName,deviceId,turnsCompleted,timeTakenToComplete,totalTurnsCompleted,gamesCompleted,timeTakenInGame,timeSpentInGame,version
6544643ba37666f0d1b7cb76,,21,2023-11-03 03:08:43.481,Top Of The Class,Event,Online,Player: 0 Completed Game,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,65.17373657226562,,,,,
6544643ba37666f0d1b7cb7a,,21,2023-11-03 03:08:43.496,Top Of The Class,Event,Online,Player: 1 Turn Start,a80095a8e4b8888d1253888a2af5e964b7d61364,1.0,0.0,,,,,
6544643ba37666f0d1b7cb79,,21,2023-11-03 03:08:43.492,Top Of The Class,Event,Online,Player: 0 Turn Over,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
654464a6a37666f0d1b7cb7c,,23,2023-11-03 03:10:30.017,Top Of The Class,Event,Lobby,App Started,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
654464a7a37666f0d1b7cb7e,,24,2023-11-03 03:10:31.981,Top Of The Class,Event,Main Menu,App Started,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
654464aba37666f0d1b7cb80,,24,2023-11-03 03:10:35.795,Top Of The Class,Event,Main Menu,Player Chose Local Mode,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
654464ada37666f0d1b7cb82,,24,2023-11-03 03:10:37.128,Top Of The Class,Session,GameSetup,Return to Main Menu,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,0.0,0.0,,5.034589767456055,
654464ada37666f0d1b7cb84,,24,2023-11-03 03:10:37.756,Top Of The Class,Event,Main Menu,Player Chose Online Mode,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
654464c2a37666f0d1b7cb86,,24,2023-11-03 03:10:58.266,Top Of The Class,Event,Online,Player: 0 Turn Over,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
654464c2a37666f0d1b7cb88,,24,2023-11-03 03:10:58.286,Top Of The Class,Event,Online,Player: 1 Turn Start,a80095a8e4b8888d1253888a2af5e964b7d61364,1.0,0.0,,,,,
654464d9a37666f0d1b7cb8a,,23,2023-11-03 03:11:21.212,Top Of The Class,Event,Online,Player: 1 Turn Over,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
654464d9a37666f0d1b7cb8c,,23,2023-11-03 03:11:21.277,Top Of The Class,Event,Online,Player: 0 Turn Start,a80095a8e4b8888d1253888a2af5e964b7d61364,1.0,0.0,,,,,
654464f2a37666f0d1b7cb8e,,25,2023-11-03 03:11:46.168,Top Of The Class,Event,Main Menu,App Started,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
654464f2a37666f0d1b7cb90,,25,2023-11-03 03:11:46.756,Top Of The Class,Event,Main Menu,Player Chose Online Mode,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
654464f3a37666f0d1b7cb92,,26,2023-11-03 03:11:47.327,Top Of The Class,Event,Lobby,App Started,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
65446551a37666f0d1b7cb94,,27,2023-11-03 03:13:21.886,Top Of The Class,Event,Main Menu,App Started,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
